asOfDate,periodType,currencyCode,Amortization,AmortizationOfIntangiblesIncomeStatement,AverageDilutionEarnings,BasicAverageShares,BasicEPS,DepreciationAmortizationDepletionIncomeStatement,DepreciationAndAmortizationInIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,GainOnSaleOfBusiness,GainOnSaleOfSecurity,GeneralAndAdministrativeExpense,ImpairmentOfCapitalAssets,InsuranceAndClaims,InterestExpense,InterestIncome,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NormalizedIncome,OperatingRevenue,OtherGandA,PreferredStockDividends,PretaxIncome,ReconciledDepreciation,RestructuringAndMergernAcquisition,SalariesAndWages,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
2020-10-31,12M,CAD,,,13000000.0,1423915000.0,7.84,,,1428770000.0,7.82,,,,,,3683000000.0,,,,,,,,,,,,,989000000.0,,,,,,,,,,,,,
2021-10-31,12M,CAD,1287000000.0,1287000000.0,0.0,1424343000.0,11.08,1287000000.0,1287000000.0,1426735000.0,11.06,15781000000.0,26000000.0,145000000.0,20430000000.0,29000000.0,3891000000.0,8143000000.0,28145000000.0,-12000000.0,16038000000.0,15781000000.0,16050000000.0,16038000000.0,16038000000.0,16050000000.0,20002000000.0,16040334000.0,49537000000.0,,257000000.0,20631000000.0,2592000000.0,,16539000000.0,20430000000.0,-3000000.0,-666000.0,4581000000.0,0.222,49537000000.0,-3000000.0,-3000000.0
2022-10-31,12M,CAD,1369000000.0,1369000000.0,,1403654000.0,11.08,1369000000.0,1369000000.0,1406034000.0,11.06,15547000000.0,100000000.0,43000000.0,18311000000.0,18000000.0,1783000000.0,18054000000.0,40771000000.0,-13000000.0,15794000000.0,15547000000.0,15807000000.0,15794000000.0,15794000000.0,15807000000.0,22717000000.0,15729548000.0,48775000000.0,,247000000.0,20109000000.0,2652000000.0,0.0,16528000000.0,18311000000.0,82000000.0,17548000.0,4302000000.0,0.214,48775000000.0,82000000.0,82000000.0
2023-10-31,12M,CAD,1471000000.0,1471000000.0,,1391020000.0,10.33,1471000000.0,1471000000.0,1392529000.0,10.32,14369000000.0,92000000.0,193000000.0,18853000000.0,106000000.0,4022000000.0,61862000000.0,86991000000.0,-7000000.0,14605000000.0,14369000000.0,14612000000.0,14605000000.0,14605000000.0,14612000000.0,25129000000.0,14921776000.0,51591000000.0,,236000000.0,18183000000.0,2854000000.0,380000000.0,18853000000.0,18853000000.0,-394000000.0,-77224000.0,3571000000.0,0.196,51591000000.0,-394000000.0,-394000000.0
2023-10-31,TTM,CAD,,,,1391020000.0,10.51,,,1392529000.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-31,TTM,CAD,,,,1396912500.0,10.78,,,1398305250.0,10.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-30,TTM,CAD,,,,1402983500.0,10.93,,,1404302500.0,10.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-31,TTM,CAD,,,,1408140250.0,11.3,,,1409619250.0,11.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-31,12M,CAD,1549000000.0,1549000000.0,,,,1549000000.0,1549000000.0,,,15908000000.0,-29000000.0,170000000.0,21083000000.0,68000000.0,,76998000000.0,104951000000.0,-10000000.0,16230000000.0,15908000000.0,16240000000.0,16230000000.0,16230000000.0,16240000000.0,27953000000.0,17201784000.0,57491000000.0,,322000000.0,19862000000.0,2981000000.0,1091000000.0,21083000000.0,21083000000.0,-1188000000.0,-216216000.0,3622000000.0,0.182,57491000000.0,-1188000000.0,-1188000000.0
2024-10-31,TTM,CAD,1549000000.0,1549000000.0,,1411903000.0,11.27,1549000000.0,1549000000.0,1413755000.0,11.25,15908000000.0,-29000000.0,170000000.0,21083000000.0,68000000.0,,76998000000.0,104951000000.0,-10000000.0,16230000000.0,15908000000.0,16240000000.0,16230000000.0,16230000000.0,16240000000.0,27953000000.0,17201784000.0,57491000000.0,,322000000.0,19862000000.0,2981000000.0,1091000000.0,21083000000.0,21083000000.0,-1188000000.0,-216216000.0,3622000000.0,0.182,57491000000.0,-1188000000.0,-1188000000.0
