asOfDate,periodType,currencyCode,Amortization,AmortizationOfIntangiblesIncomeStatement,BasicAverageShares,BasicEPS,DepreciationAmortizationDepletionIncomeStatement,DepreciationAndAmortizationInIncomeStatement,DilutedAverageShares,DilutedEPS,DilutedNIAvailtoComStockholders,EarningsFromEquityInterestNetOfTax,GainOnSaleOfBusiness,GainOnSaleOfSecurity,GeneralAndAdministrativeExpense,ImpairmentOfCapitalAssets,InsuranceAndClaims,InterestExpense,InterestIncome,MinorityInterests,NetIncome,NetIncomeCommonStockholders,NetIncomeContinuousOperations,NetIncomeFromContinuingAndDiscontinuedOperation,NetIncomeFromContinuingOperationNetMinorityInterest,NetIncomeIncludingNoncontrollingInterests,NetInterestIncome,NormalizedIncome,OperatingRevenue,OtherGandA,OtherSpecialCharges,PreferredStockDividends,PretaxIncome,ReconciledDepreciation,RestructuringAndMergernAcquisition,SalariesAndWages,SellingAndMarketingExpense,SellingGeneralAndAdministration,SpecialIncomeCharges,TaxEffectOfUnusualItems,TaxProvision,TaxRateForCalcs,TotalRevenue,TotalUnusualItems,TotalUnusualItemsExcludingGoodwill
2020-10-31,12M,CAD,,,1807300000.0,6.43,,,1808800000.0,6.43,,,,,,73000000.0,,,,0.0,,,,,,,,,,1187000000.0,,,,,,,,,,,,,,,
2021-10-31,12M,CAD,706000000.0,706000000.0,1817700000.0,7.73,706000000.0,706000000.0,1820200000.0,7.72,14049000000.0,785000000.0,0.0,0.0,15085000000.0,50000000.0,2707000000.0,5450000000.0,29581000000.0,0.0,14298000000.0,14049000000.0,14298000000.0,14298000000.0,14298000000.0,14298000000.0,24131000000.0,14418717000.0,42266000000.0,1203000000.0,,249000000.0,17134000000.0,2066000000.0,103000000.0,12378000000.0,1203000000.0,16288000000.0,-153000000.0,-32283000.0,3621000000.0,0.211,42266000000.0,-153000000.0,-153000000.0
2022-10-31,12M,CAD,599000000.0,599000000.0,1810500000.0,9.48,599000000.0,599000000.0,1813600000.0,9.47,17170000000.0,991000000.0,997000000.0,0.0,16294000000.0,3000000.0,2900000000.0,13679000000.0,41032000000.0,0.0,17429000000.0,17170000000.0,17429000000.0,17429000000.0,17429000000.0,17429000000.0,27353000000.0,15306215000.0,45762000000.0,,-224000000.0,259000000.0,20424000000.0,1766000000.0,-1416000000.0,13394000000.0,1355000000.0,17649000000.0,2637000000.0,514215000.0,3986000000.0,0.195,45762000000.0,2637000000.0,2637000000.0
2023-10-31,12M,CAD,672000000.0,672000000.0,1822500000.0,5.53,672000000.0,672000000.0,1824400000.0,5.52,10071000000.0,864000000.0,0.0,0.0,20767000000.0,,5014000000.0,50730000000.0,80674000000.0,,10634000000.0,10071000000.0,10634000000.0,10634000000.0,10634000000.0,10634000000.0,29944000000.0,14063192000.0,51485000000.0,,1642000000.0,563000000.0,12888000000.0,1911000000.0,2882000000.0,15753000000.0,1452000000.0,22219000000.0,-4524000000.0,-1094808000.0,3118000000.0,0.242,51485000000.0,-4524000000.0,-4524000000.0
2023-10-31,TTM,CAD,,,1822500000.0,5.61,,,1824400000.0,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-31,TTM,CAD,,,1811500000.0,6.34,,,1813175000.0,6.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-30,TTM,CAD,,,1795200000.0,5.99,,,1796700000.0,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-31,TTM,CAD,,,1773375000.0,4.33,,,1774675000.0,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-31,12M,CAD,702000000.0,702000000.0,,,702000000.0,702000000.0,,,8316000000.0,703000000.0,1022000000.0,0.0,23380000000.0,,6647000000.0,62917000000.0,93389000000.0,,8842000000.0,8316000000.0,8842000000.0,8842000000.0,8842000000.0,8842000000.0,30472000000.0,13040416000.0,55945000000.0,,4949000000.0,526000000.0,10830000000.0,2027000000.0,1656000000.0,16733000000.0,1516000000.0,24896000000.0,-5583000000.0,-1384584000.0,2691000000.0,0.248,55945000000.0,-5583000000.0,-5583000000.0
2024-10-31,TTM,CAD,702000000.0,702000000.0,1758800000.0,4.73,702000000.0,702000000.0,1760000000.0,4.72,8316000000.0,703000000.0,1022000000.0,0.0,23380000000.0,,6647000000.0,62917000000.0,93389000000.0,,8842000000.0,8316000000.0,8842000000.0,8842000000.0,8842000000.0,8842000000.0,30472000000.0,13040416000.0,55945000000.0,,4949000000.0,526000000.0,10830000000.0,2027000000.0,1656000000.0,16733000000.0,1516000000.0,24896000000.0,-5583000000.0,-1384584000.0,2691000000.0,0.248,55945000000.0,-5583000000.0,-5583000000.0
